"DataMessageGUID","SensorID","Sensor Name","Date","Value"
"6bb9df3f-601c-47d7-bf61-8f743b1a0db9","465893","Temperature - 465893","19-11-19 08:57","29.6"
"4382ae0b-8ca3-4813-9cc7-70b07b614371","465893","Temperature - 465893","19-11-19 08:47","29.6"
"bf3834de-77df-4f41-81a2-ce1fc94a72af","465893","Temperature - 465893","19-11-19 08:37","29.5"
"79cbd9dc-a182-4487-aeee-e62832daffac","465893","Temperature - 465893","19-11-19 08:27","29.4"
"814ee6b4-961b-4d76-84f0-e9e56a5a913e","465893","Temperature - 465893","19-11-19 08:17","29.3"
"7f53b6f1-d76f-4bf1-a947-504508e454a2","465893","Temperature - 465893","19-11-19 08:07","29.1"
"f22d93e6-63cc-4044-ad21-9ad37a073a7b","465893","Temperature - 465893","19-11-19 07:57","28.9"
"88b7c61d-10be-47b8-8398-7bea752200e6","465893","Temperature - 465893","19-11-19 07:47","28.8"
"3e377020-349b-4e77-90e7-506ab9cdc0c1","465893","Temperature - 465893","19-11-19 07:37","28.8"
"16571ff1-e91c-427c-b9c7-47a7397052bc","465893","Temperature - 465893","19-11-19 07:27","28.7"
"3dc14121-8d0c-443d-bc8f-9d53e70d6439","465893","Temperature - 465893","19-11-19 07:17","28.7"
"006dec50-5403-476e-8cee-c2ac62f9d5f3","465893","Temperature - 465893","19-11-19 07:07","28.7"
"19747096-1a4b-4bc8-8d4b-14992bde8e73","465893","Temperature - 465893","19-11-19 06:57","28.7"
"6c6b9060-4482-426f-9535-5101e5690cd9","465893","Temperature - 465893","19-11-19 06:47","28.8"
"809450bd-d560-40cb-b7d4-5801d4d01f94","465893","Temperature - 465893","19-11-19 06:37","28.8"
"9fa706ca-ef2f-430e-87cf-382ff785dc08","465893","Temperature - 465893","19-11-19 06:27","28.8"
"394873d2-659b-4c27-b2af-fba7972dc093","465893","Temperature - 465893","19-11-19 06:17","28.8"
"e7911629-fa34-4ac7-b853-3b7adb46be51","465893","Temperature - 465893","19-11-19 06:07","28.8"
"4e5c89fd-bc5c-420d-8725-3711c005d2ba","465893","Temperature - 465893","19-11-19 05:57","28.8"
"6ca7c096-d4ba-4fed-ab21-321d596e659f","465893","Temperature - 465893","19-11-19 05:47","28.9"
"3056d1b1-bdaf-4644-92c8-0b9f0e8dba58","465893","Temperature - 465893","19-11-19 05:37","28.9"
"7622ac24-e95e-4bf3-aaed-5417ed3dfb31","465893","Temperature - 465893","19-11-19 05:27","28.9"
"86844910-64e6-481a-b747-a93942f9b57d","465893","Temperature - 465893","19-11-19 05:17","28.9"
"9200be2c-029c-44cc-9356-d831ceaa65f3","465893","Temperature - 465893","19-11-19 05:07","28.9"
"39e45f8f-8fae-42f2-8c5d-1ed2a4570d5b","465893","Temperature - 465893","19-11-19 04:57","28.9"
"490aea14-ed68-444b-ab6d-7da548748fb3","465893","Temperature - 465893","19-11-19 04:47","28.9"
"697a35aa-3555-475c-b9da-dc8c60a308ca","465893","Temperature - 465893","19-11-19 04:37","29"
"e9b20eae-1435-4049-8a29-9e79d6ccab99","465893","Temperature - 465893","19-11-19 04:27","29"
"c188ae9f-ecec-4476-a3a7-169cbef2fcf5","465893","Temperature - 465893","19-11-19 04:17","29"
